IA_p,IB_p,IC_p,IA_m,IB_m,IC_m,Rs_A,Rs_B,Rs_C,Ls,state
0.4844,0.447,0.908,-0.7266,-0.51,-1.0451,3.1415,3.1609,2.0663,0.0143,3
0.3867,0.9548,0.5955,-0.6289,-1.0374,-0.4787,3.1514,1.8172,3.2246,0.0121,2
0.4844,0.9353,0.4588,-0.6875,-1.0179,-0.5959,3.3782,2.1928,3.4449,0.0131,2
1.2054,0.6949,1.2218,-0.6696,-0.7699,-0.8876,0,0,0,0,6
0.3281,0.447,0.3806,-0.5703,-0.51,-0.6545,3.5936,3.5946,3.6881,0.0181,0
0.8359,0.5642,0.5369,-0.9414,-0.6272,-0.6154,1.8367,3.1764,3.2437,0.0158,1
1.1077,1.2223,0.8702,-0.5915,-0.6332,-0.829,0,0,0,0,4
0.4648,0.8571,0.5564,-0.8438,-0.9202,-0.6936,3.2237,2.0605,3.2746,0.0124,2
0.4648,0.5446,0.9471,-0.5703,-0.5491,-0.967,3.11,3.1177,1.8965,0.0129,3
0.3867,0.447,0.9471,-0.7266,-0.5686,-0.8108,3.0966,3.1394,2.0474,0.0141,3
0.4258,0.2321,0.3611,-0.668,-0.6077,-0.5569,3.5577,3.5611,3.6104,0.019,0
0.4844,0.6423,0.8494,-0.668,-0.5686,-0.8889,3.0564,3.08,2.0315,0.0147,3
0.9336,0.6032,0.4197,-1,-0.5882,-0.6936,1.938,3.2371,3.277,0.0155,1
0.5039,0.486,0.908,-0.6875,-0.5882,-0.8498,3.1838,3.1804,2.2233,0.0137,3
1.1272,0.8121,1.3195,-0.6696,-0.6332,-0.7704,0,0,0,0,6
0.4648,0.486,0.8299,-0.5313,-0.4905,-0.967,3.1517,3.1672,2.1888,0.0133,3
0.6975,1.066,1.1632,-0.8064,-0.9066,-0.8876,0,0,0,0,5
0.9336,0.486,0.4392,-1.0195,-0.6663,-0.7131,2.2531,3.4763,3.5463,0.0135,1
0.8359,0.486,0.615,-0.8828,-0.5882,-0.8108,2.2446,3.4241,3.511,0.0139,1
0.5625,0.447,0.8885,-0.5703,-0.5686,-0.8889,3.0429,3.0512,1.7782,0.0127,3
0.8359,0.5642,0.615,-0.8438,-0.5296,-0.5959,2.2227,3.4037,3.4832,0.0149,1
0.8555,0.6228,0.6346,-0.9805,-0.5882,-0.5764,1.8578,3.2213,3.2822,0.0158,1
0.914,0.5251,0.5174,-0.9805,-0.4905,-0.6936,2.0794,3.2762,3.3332,0.0139,1
0.5804,1.0269,1.1827,-0.7673,-0.6723,-1.0048,0,0,0,0,5
0.4844,0.6228,0.8689,-0.7656,-0.5296,-1.0256,3.2503,3.2607,2.2477,0.0137,3
0.7773,0.3884,0.576,-0.8242,-0.5686,-0.5373,2.3253,3.3695,3.4215,0.0169,1
0.543,0.8181,0.6541,-0.8242,-0.9397,-0.6154,3.1452,1.9159,3.1927,0.0121,2
0.4453,0.6032,0.8494,-0.5313,-0.5491,-0.9084,3.1103,3.1007,2.061,0.013,3
0.7969,0.6032,0.5369,-1.0391,-0.6468,-0.5959,1.9228,3.2059,3.2404,0.0148,1
0.7561,1.0269,1.2804,-0.7087,-0.809,-0.9852,0,0,0,0,5
1.0312,0.486,0.4588,-0.961,-0.5491,-0.7522,1.9245,3.2231,3.2654,0.0153,1
0.4062,0.5446,0.908,-0.668,-0.5882,-0.8498,3.449,3.4646,2.2625,0.0137,3
1.1272,1.2027,0.6945,-0.572,-0.6137,-1.0634,0,0,0,0,4
0.5039,0.5251,1.0056,-0.6485,-0.5296,-1.1037,3.1005,3.1305,1.9093,0.0149,3
1.0882,1.2027,0.7335,-0.5329,-0.8676,-0.9266,0,0,0,0,4
0.4453,0.9548,0.5174,-0.7266,-0.8811,-0.5764,3.2537,2.0599,3.3037,0.0127,2
0.543,0.5642,1.0056,-0.5899,-0.4515,-0.9475,3.1713,3.1797,2.0645,0.012,3
0.4258,0.3689,0.4783,-0.6875,-0.5491,-0.342,3.633,3.6181,3.6645,0.0182,0
0.543,0.486,0.4392,-0.6485,-0.5686,-0.5569,3.6279,3.6213,3.6868,0.0183,0
0.543,0.7985,0.6736,-0.8242,-0.9593,-0.6154,3.2482,2.2517,3.3323,0.0153,2
0.5039,0.5056,0.2635,-0.668,-0.5686,-0.4397,3.5603,3.5417,3.5923,0.018,0
0.543,0.9157,0.5955,-0.707,-0.8616,-0.5764,3.1381,1.8097,3.1813,0.0149,2
0.5625,0.8962,0.576,-0.707,-0.9397,-0.6936,3.2235,2.04,3.2772,0.0145,2
0.6797,0.5642,0.4783,-0.9414,-0.5296,-0.7326,2.0878,3.2653,3.3215,0.0151,1
0.5234,0.9548,0.5369,-0.668,-0.8811,-0.635,3.1227,1.8809,3.1777,0.0141,2
0.3086,0.5837,0.4588,-0.668,-0.5686,-0.5373,3.6111,3.6094,3.6888,0.0184,0
0.875,0.6423,0.615,-0.8438,-0.5686,-0.674,2.2206,3.3985,3.4533,0.0138,1
0.5039,0.447,0.9275,-0.7266,-0.4515,-1.0451,3.1043,3.1173,1.8256,0.0148,3
0.4648,0.8181,0.8494,-0.6094,-0.7444,-0.9865,3.0979,3.0917,1.868,0.0113,3
0.582,0.486,0.908,-0.6289,-0.5686,-0.8889,3.2254,3.2371,2.2476,0.0132,3
0.3867,0.3884,0.4588,-0.7266,-0.6272,-0.5373,3.6081,3.6145,3.7038,0.0188,0
0.5039,0.4079,0.5369,-0.5899,-0.6468,-0.5569,3.6421,3.6189,3.6826,0.0181,0
0.8359,0.6032,0.5955,-0.8828,-0.6858,-0.674,2.2589,3.465,3.4977,0.0158,1
1.2054,1.0855,0.753,-0.6306,-0.8481,-0.9266,0,0,0,0,4
0.4453,0.5837,0.908,-0.7266,-0.5491,-0.8694,3.2391,3.2302,2.2474,0.0127,3
0.9336,0.4275,0.615,-0.9024,-0.5686,-0.5959,1.9315,3.2147,3.2596,0.0135,1
0.8945,0.6618,0.4978,-1.0781,-0.8616,-0.5959,1.8409,3.1493,3.2339,0.0156,1
1.0296,1.1051,0.8312,-0.5915,-0.6527,-1.0438,0,0,0,0,4
0.8359,0.6814,0.4978,-1.0195,-0.6272,-0.5569,2.2217,3.3915,3.4823,0.0145,1
0.6194,1.0074,1.2218,-0.7478,-0.809,-1.0634,0,0,0,0,5
0.8555,0.5837,0.3416,-1.0586,-0.5686,-0.8694,1.9004,3.1551,3.2211,0.0152,1
0.5039,0.5056,0.9471,-0.6289,-0.6077,-0.7717,3.1258,3.1281,1.9188,0.0137,3
0.875,0.5446,0.4978,-0.9805,-0.5491,-0.6936,2.0984,3.3057,3.3639,0.016,1
0.5039,0.8767,0.6541,-0.707,-0.9202,-0.674,3.2055,2.0502,3.2781,0.014,2
0.4844,0.8767,0.576,-0.5508,-0.9007,-0.674,3.2435,2.2422,3.338,0.0131,2
0.4062,0.8181,0.6346,-0.6289,-1.0765,-0.4592,3.2807,2.1403,3.358,0.0132,2
0.4453,0.4079,0.5955,-0.668,-0.4319,-0.9865,3.2463,3.2645,2.2368,0.0127,3
1.1858,0.9879,0.7726,-0.6696,-0.6918,-1.0634,0,0,0,0,4
0.8164,0.6228,0.4197,-0.9219,-0.51,-0.635,2.2542,3.4416,3.5175,0.0136,1
0.5234,0.8571,0.6541,-0.707,-0.9202,-0.6545,3.2159,2.1231,3.2994,0.0129,2
0.7187,0.6228,0.5174,-1.0195,-0.6077,-0.8108,1.837,3.2085,3.2213,0.0151,1
0.914,0.5251,0.5369,-0.9805,-0.7444,-0.5569,1.9358,3.2255,3.2918,0.0129,1
0.4844,0.9353,0.4588,-0.961,-0.9007,-0.5959,3.3019,2.1637,3.3887,0.0136,2
0.875,0.5446,0.4197,-1.0195,-0.5882,-0.6545,2.2723,3.4641,3.574,0.0145,1
0.3672,0.9353,0.615,-0.8828,-0.9397,-0.635,3.253,2.0552,3.2947,0.0131,2
1.2249,0.6559,1.2023,-0.6696,-0.7504,-0.7899,0,0,0,0,6
0.4844,0.6228,0.908,-0.6289,-0.6077,-1.0061,3.4529,3.4414,2.266,0.0156,3
0.5234,0.9548,0.5564,-0.7266,-0.803,-0.7326,3.1673,2.0462,3.2279,0.0121,2
0.5234,0.3884,0.9666,-0.6289,-0.6077,-0.9475,3.1734,3.1904,2.1034,0.0138,3
0.4062,0.8376,0.6346,-0.707,-0.9007,-0.635,3.2534,2.0486,3.3003,0.0116,2
0.5039,0.5056,0.5369,-0.7461,-0.471,-0.4397,3.5929,3.5882,3.629,0.0181,0
0.4258,0.5446,0.9471,-0.5703,-0.6272,-0.9084,3.0425,3.0668,1.8588,0.0122,3
0.289,0.8181,0.4588,-0.7266,-0.9007,-0.635,3.1262,1.8142,3.1909,0.0116,2
0.2695,0.3884,0.5369,-0.6094,-0.5686,-0.6545,3.6114,3.6178,3.6774,0.019,0
0.6585,0.9879,1.1632,-0.7868,-0.9262,-1.0829,0,0,0,0,5
0.9336,0.5251,0.5174,-0.9024,-0.4905,-0.5959,2.1001,3.2869,3.2977,0.0141,1
0.3867,0.5056,0.4978,-0.5703,-0.5882,-0.4787,3.5826,3.5781,3.6281,0.0186,0
0.5039,0.8376,0.4783,-0.8047,-0.9202,-0.6154,3.3786,2.2012,3.4984,0.0141,2
0.8164,0.486,0.4392,-0.961,-0.5296,-0.7326,2.0775,3.2227,3.2849,0.0157,1
0.4258,0.779,0.6736,-0.5508,-0.9397,-0.6154,3.3322,2.1811,3.4023,0.0131,2
0.914,0.6618,0.5955,-1.0391,-0.7054,-0.635,2.2262,3.3929,3.4525,0.016,1
0.4844,0.8181,0.4978,-0.8438,-0.9202,-0.5373,3.2115,2.0558,3.2812,0.0129,2
0.4844,0.8571,0.615,-0.707,-0.9007,-0.7131,3.1699,1.8993,3.2201,0.0121,2
0.8164,0.6423,0.3221,-1,-0.5296,-0.5373,2.3126,3.3202,3.3612,0.0148,1
1.1272,0.7535,1.0851,-0.7282,-0.7504,-0.7899,0,0,0,0,6
0.914,0.3493,0.4978,-1.0195,-0.5491,-0.635,1.8597,3.193,3.2468,0.0131,1
0.5234,0.9157,0.7517,-0.7266,-1.0179,-0.5764,3.1405,1.8209,3.2099,0.0119,2
1.2249,0.7926,1.0265,-0.6306,-0.809,-1.1024,0,0,0,0,6
1.1272,0.6168,1.1046,-0.7478,-0.6137,-0.7118,0,0,0,0,6
0.8164,0.4665,0.5564,-0.8828,-0.6468,-0.7131,2.2086,3.3956,3.4368,0.0163,1
0.5234,0.7204,0.5174,-0.7266,-0.8811,-0.5569,3.2531,2.2284,3.3087,0.0131,2
0.4453,0.6032,0.8689,-0.707,-0.6663,-0.8498,3.1786,3.2182,2.0956,0.0136,3
0.5625,0.486,0.9471,-0.6289,-0.6468,-0.9279,3.1876,3.1842,2.0961,0.0131,3
0.7969,0.6423,0.615,-1.0391,-0.7054,-0.5764,2.2831,3.4738,3.5269,0.0139,1
0.4453,0.8181,0.6346,-0.6094,-0.9007,-0.6936,3.1916,1.9105,3.2177,0.014,2
0.4258,0.8962,0.5174,-0.707,-0.9007,-0.5178,3.2858,2.2764,3.3647,0.0141,2
0.4844,0.6423,0.8494,-0.668,-0.6077,-1.0451,3.0571,3.0732,2.0436,0.0125,3
0.3867,0.6032,0.4588,-0.5703,-0.5491,-0.5959,3.6469,3.6611,3.6902,0.0183,0
0.3867,0.9353,0.5564,-0.5508,-1.0569,-0.6936,3.3629,2.1832,3.4159,0.0135,2
0.3476,0.8962,0.6541,-0.6094,-0.9202,-0.6154,3.2934,2.2821,3.3476,0.0153,2
0.5234,0.5056,0.4783,-0.6094,-0.5882,-0.5764,3.6447,3.6337,3.7163,0.0182,0
0.8945,0.5837,0.5174,-0.961,-0.6468,-0.5764,2.2273,3.3822,3.4464,0.0143,1
0.3672,0.9353,0.615,-0.8828,-0.9397,-0.635,3.253,2.0552,3.2947,0.0128,2
0.4062,0.5642,0.2439,-0.6289,-0.51,-0.6545,3.6392,3.6438,3.6794,0.0182,0
1.0882,1.2809,0.7335,-0.572,-0.7309,-0.9071,0,0,0,0,4
0.4062,0.5642,0.8885,-0.6094,-0.4905,-1.0256,3.1684,3.1743,2.07,0.0126,3
0.4453,0.6618,0.9471,-0.7266,-0.7249,-0.8889,3.1571,3.1732,2.0888,0.0129,3
0.4648,0.5056,1.0447,-0.6485,-0.5296,-1.0842,3.0129,3.0313,1.7638,0.0115,3
0.3086,0.9353,0.3416,-0.7266,-1.0179,-0.7131,3.2056,2.0446,3.2511,0.0152,2
0.4258,0.4665,0.5369,-0.5703,-0.51,-0.5373,3.6015,3.6059,3.6656,0.019,0
0.5625,0.5056,0.6931,-0.707,-0.6858,-0.9084,3.1436,3.1696,2.0575,0.0121,3
0.4258,0.8571,0.5174,-0.6094,-0.764,-0.6154,3.2785,2.2755,3.3518,0.0142,2
0.4062,0.9548,0.5174,-0.7266,-0.8421,-0.6154,3.318,2.1799,3.4047,0.0149,2
0.3476,0.3103,0.9471,-0.6485,-0.51,-0.9475,3.1794,3.2003,2.0612,0.0138,3
0.8945,0.5837,0.5564,-1,-0.8421,-0.5764,1.9249,3.2171,3.273,0.0155,1
0.7366,1.0855,1.2218,-0.6892,-0.6137,-0.9266,0,0,0,0,5
0.5625,0.6423,1.0056,-0.5508,-0.6468,-0.9865,3.1905,3.1953,2.0848,0.0122,3
0.5039,0.7985,0.5564,-0.5899,-0.9202,-0.674,3.2867,2.1583,3.3754,0.0131,2
0.8555,0.5056,0.576,-1.0586,-0.4905,-0.6545,1.8351,3.1631,3.2264,0.0137,1
0.8945,0.6814,0.4783,-1.0391,-0.5882,-0.5959,2.0945,3.2933,3.3579,0.0158,1
0.8555,0.3884,0.5955,-0.8438,-0.7249,-0.635,2.2614,3.4673,3.4975,0.016,1
0.8555,0.6814,0.5564,-0.9805,-0.5686,-0.5959,2.084,3.2928,3.3484,0.0155,1
0.4062,0.9548,0.615,-0.668,-0.8421,-0.5959,3.2587,2.1372,3.3348,0.0151,2
0.8343,1.066,1.2999,-0.8454,-0.7504,-0.9462,0,0,0,0,5
0.7969,0.5837,0.615,-0.9414,-0.471,-0.7522,2.2557,3.4626,3.536,0.0144,1
0.3867,0.779,0.6736,-0.6094,-1.1155,-0.4983,3.2727,2.148,3.327,0.0149,2
0.543,0.5056,0.908,-0.7266,-0.4515,-0.8889,3.1274,3.1546,1.9249,0.0114,3
1.0296,1.0074,0.7726,-0.5915,-0.7113,-0.9462,0,0,0,0,4
0.678,1.066,1.2804,-0.7087,-0.5941,-1.0048,0,0,0,0,5
0.7366,1.1051,1.1632,-0.7282,-0.7309,-0.9266,0,0,0,0,5
0.4453,0.5837,0.7713,-0.707,-0.5686,-0.967,3.2393,3.2435,2.2531,0.0137,3
1.1272,1.2613,0.7335,-0.5329,-0.6918,-0.9266,0,0,0,0,4
0.8555,0.5056,0.5564,-0.9024,-0.5686,-0.5959,2.0717,3.2557,3.31,0.0145,1
0.582,0.4275,1.0252,-0.7266,-0.51,-0.9279,3.2177,3.2166,2.0559,0.0151,3
0.4258,0.8571,0.5955,-0.6875,-0.8616,-0.6545,3.2549,2.147,3.3447,0.0123,2
0.8359,0.3884,0.6346,-1,-0.6663,-0.6545,1.9366,3.2173,3.2821,0.0128,1
0.8359,0.486,0.6541,-1.0195,-0.6468,-0.7131,2.2086,3.3956,3.4368,0.0163,1
0.3281,0.5251,0.5369,-0.7461,-0.5882,-0.7912,3.5697,3.552,3.6306,0.0182,0
0.8359,0.6423,0.615,-1,-0.5882,-0.6545,2.2789,3.4586,3.5403,0.0141,1
0.8164,0.5837,0.5174,-0.961,-0.5686,-0.6936,2.083,3.2692,3.3226,0.0149,1
0.4258,0.9353,0.5564,-0.7266,-0.9007,-0.5569,3.3603,2.1923,3.4672,0.0123,2
0.543,0.5446,0.4392,-0.6289,-0.5882,-0.6936,3.633,3.6253,3.6858,0.0184,0
0.4062,0.5446,0.4588,-0.668,-0.5882,-0.5764,3.5368,3.5398,3.6178,0.0179,0
0.9319,1.1832,0.753,-0.4353,-0.7504,-0.868,0,0,0,0,4
0.8164,0.6032,0.615,-0.9219,-0.5882,-0.8108,2.1024,3.2625,3.3108,0.0149,1
0.4258,0.8767,0.576,-0.7266,-1.096,-0.674,3.2272,2.1421,3.3085,0.0123,2
0.582,0.6228,0.9471,-0.6094,-0.6858,-0.9475,3.0468,3.063,1.8633,0.0115,3
0.8555,0.5642,0.576,-1.0586,-0.471,-0.6545,2.0755,3.2941,3.3365,0.0154,1
