num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
41,0.6304,0.6313,-0.0382,-0.0401,-0.0158,-0.0127,-0.0165,-0.0161,-0.0181,-0.0164,0.001,0.0006,0.0001,0.0001,-0.0009,0.0007,-0.0553,-0.0559,-0.056,-0.054,-0.0569,-0.0547,-0.0002,0.0002,0.0005,-0.0016,-0.0007,-0.0002,0
42,0.6607,0.6617,-0.0408,-0.0391,-0.0184,-0.0161,-0.0167,-0.0176,-0.0187,-0.0208,0.0008,0.0014,-0.0001,0.0009,0.0007,0.0008,-0.0539,-0.058,-0.0577,-0.0569,-0.0589,-0.0575,-0.0001,0.0004,-0.0004,0.0005,-0.0006,0,0
43,0.6888,0.6911,-0.0401,-0.044,-0.0198,-0.0165,-0.0224,-0.0195,-0.0215,-0.0221,0.0005,0.0003,0,0.0006,-0.001,0.0004,-0.0572,-0.0574,-0.0576,-0.0543,-0.0588,-0.0572,-0.0009,0,-0.0008,-0.0008,-0.0004,0,0
44,0.7156,0.7186,-0.0448,-0.0435,-0.0236,-0.0213,-0.0202,-0.0188,-0.023,-0.0265,0.0009,0.0011,0.0003,0.0003,-0.0009,0.0006,-0.0585,-0.0576,-0.0571,-0.0603,-0.0602,-0.0605,-0.0007,0.0002,0,-0.0011,-0.0002,0,0
45,0.7426,0.7443,-0.0417,-0.0396,-0.0193,-0.0234,-0.0253,-0.022,-0.0242,-0.0222,0.0003,0.0014,-0.0005,0.0012,-0.0001,-0.0004,-0.0601,-0.062,-0.0603,-0.0581,-0.0628,-0.0603,0.002,0.0003,0,0.0004,0.0001,0.0003,0
46,0.769,0.7692,-0.0409,-0.0377,-0.0234,-0.0245,-0.024,-0.0267,-0.0267,-0.0252,0.0004,0.0011,-0.0005,-0.0002,0.0007,0,-0.0607,-0.0617,-0.0627,-0.0632,-0.061,-0.0612,0.0006,0.0002,-0.0009,0.0001,-0.0003,0.0007,0
47,0.7939,0.7946,-0.0434,-0.0398,-0.0273,-0.0226,-0.025,-0.0254,-0.0289,-0.0312,0.0006,-0.0003,-0.0002,0.0007,0.0004,0.0005,-0.0617,-0.0631,-0.0633,-0.0625,-0.0653,-0.062,0.0001,0.0002,-0.0011,-0.0002,0.0002,0.001,0
48,0.8171,0.8195,-0.0417,-0.041,-0.0263,-0.0292,-0.029,-0.0284,-0.031,-0.033,0.0001,0.0007,0.0009,0.0005,-0.001,0.0007,-0.0606,-0.0625,-0.0648,-0.0647,-0.064,-0.0624,-0.0016,0.0003,-0.0009,0.0013,-0.0002,-0.0002,0
49,0.8313,0.8326,-0.0386,-0.0408,-0.0278,-0.0292,-0.0312,-0.0287,-0.0296,-0.0286,0.0005,0.0005,-0.0002,0.0005,-0.001,-0.0002,-0.066,-0.0649,-0.0655,-0.0643,-0.0631,-0.0638,-0.0005,0.0001,-0.0013,0.0009,0.0001,0.0012,0
50,0.8303,0.8302,-0.0398,-0.0384,-0.0278,-0.0288,-0.0299,-0.0302,-0.0267,-0.0312,0.0005,-0.0007,-0.0005,0.001,0.0006,0.0002,-0.0653,-0.063,-0.0637,-0.0646,-0.0617,-0.0652,0.0009,-0.0006,-0.0008,0.0004,-0.0001,0.001,0
51,0.8312,0.8296,-0.0408,-0.0414,-0.027,-0.0295,-0.0297,-0.0287,-0.0276,-0.0288,0.0015,0.0012,-0.0004,-0.0002,-0.0003,0.0006,-0.0639,-0.0643,-0.0639,-0.0667,-0.0638,-0.0616,-0.0004,0.0003,-0.0006,0.0004,0,0.0006,0
52,0.831,0.8303,-0.0393,-0.0359,-0.0293,-0.0286,-0.0249,-0.0273,-0.0311,-0.0295,0.0008,0.0003,-0.0001,0.0006,0.0004,-0.0004,-0.0638,-0.062,-0.0612,-0.0615,-0.0623,-0.061,0.0004,0.0001,-0.0014,0.0005,0,0.0009,0
