num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,nothing1,nothing2,nothing3,nothing4,nothing5,nothing6,nothing7,nothing8,nothing9,nothing10,nothing11,nothing12,nothing13,nothing14,nothing15,nothing16,nothing17,state,target
25092,0.4258,0.5446,0.4392,-0.668,-0.5491,-0.674,3.6152,3.6221,3.6716,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
25676,0.4062,0.2126,0.5369,-0.707,-0.5296,-0.4983,3.6185,3.596,3.6632,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
26259,0.3867,0.3298,0.4978,-0.5899,-0.5296,-0.5764,3.615,3.6358,3.709,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
26843,0.4258,0.4665,0.5369,-0.5703,-0.51,-0.5373,3.6015,3.6059,3.6656,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
27426,0.4453,0.4665,0.4197,-0.6094,-0.471,-0.5569,3.6182,3.6251,3.6613,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
28010,0.5039,0.5642,0.5369,-0.5899,-0.5491,-0.5178,3.6129,3.6223,3.6775,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
28593,0.2695,0.3884,0.5369,-0.6094,-0.5686,-0.6545,3.6114,3.6178,3.6774,0.019,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
29177,0.5234,0.5056,0.4197,-0.5899,-0.4905,-0.5178,3.6025,3.6199,3.6766,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
29760,0.4844,0.2712,0.5369,-0.5313,-0.4319,-0.4592,3.6586,3.6245,3.7187,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
30344,0.3672,0.4665,0.5369,-0.707,-0.5296,-0.5373,3.6421,3.6161,3.6697,0.0188,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
30927,0.3672,0.5251,0.5174,-0.7852,-0.4905,-0.5569,3.629,3.6238,3.6672,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
30928,0.3672,0.6423,0.4783,-0.6289,-0.5296,-0.5178,3.6178,3.6137,3.6494,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
31511,0.4062,0.6423,0.4783,-0.6289,-0.5296,-0.5178,3.6178,3.6137,3.6494,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
32094,0.4062,0.5056,0.5369,-0.6875,-0.471,-0.6545,3.605,3.6161,3.6771,0.0186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
32095,0.4062,0.5056,0.4783,-0.5703,-0.6272,-0.6936,3.6203,3.6232,3.6551,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
32678,0.4844,0.5837,0.4783,-0.5703,-0.6272,-0.6936,3.6203,3.6232,3.6551,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
33261,0.4062,0.3689,0.5174,-0.5508,-0.51,-0.4983,3.6069,3.6298,3.6695,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
33262,0.4062,0.3689,0.5174,-0.5899,-0.4515,-0.5373,3.6262,3.6067,3.6953,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
33845,0.4453,0.5837,0.5564,-0.5899,-0.4515,-0.5373,3.6262,3.6067,3.6953,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
34428,0.4648,0.4275,0.4392,-0.4922,-0.6468,-0.5373,3.6134,3.6187,3.667,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
34429,0.4648,0.4275,0.4392,-0.4922,-0.5882,-0.4787,3.6242,3.6081,3.6634,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
35012,0.3867,0.447,0.4588,-0.7656,-0.5882,-0.4787,3.6242,3.6081,3.6634,0.0181,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
35595,0.25,0.2712,0.4978,-0.6485,-0.6077,-0.5764,3.627,3.6124,3.6866,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
35596,0.25,0.2712,0.4978,-0.6485,-0.6077,-0.5178,3.6335,3.6251,3.6565,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
